id,nombre,requerido,descripcion,ejemplo,variable_data_json
1,Nombre,Recomendado,"El nombre del campo tal como se denomina en el encabezado de la distribución. Véase la ""Guía para la publicación de datos en formatos abiertos"" para una adecuada elección del nombre de un campo.","Ejemplo para el cuarto campo de la distribución ""Convocatorias abiertas durante el año 2015"", valor para el nombre: ""unidad_operativa_contrataciones_desc""",title
2,Tipo ,Recomendado,"El tipo de dato contenido en el campo según la lista utilizada por la librería recline.js (http://okfnlabs.org/recline/docs/models.html#types).  Los tipos incluidos en esta lista son: string (text): Valores de texto; number (double, float, numeric): Números que puedan no ser enteros (incluyen decimales); integer (int): Números que siempre son enteros; date: Fecha simple expresada según el estándar ISO 8601 incluyendo únicamente año, mes y día (YYYY-MM-DD) como en ""2016-02-01""; time: Tiempo expresado según el estándar ISO 8601 incluyendo únicamente horas, minutos y segundos (hh:mm:ss) como en ""10:05:00""; date-time (datetime, timestamp): Fecha completa expresada según el estándar ISO 8601 incluyendo año, mes, día, horas, minutos y segundos (YYYY-MM-DDThh:mm:ssZ) como en ""2016-02-01T10:05:00+03:00""; boolean (bool): Valores verdadero/falso.; binary: Representación de datos binarios base64; geo_point: Ver estructura en https://www.elastic.co/guide/en/elasticsearch/reference/current/geo-point.html; geojson: Ver en http://geojson.org/; array: Lista de valores; object (json): Objeto de JSON; any: Campo que puede contener valores de cualquier tipo.","Ejemplo para el campo ""unidad_operativa_contrataciones_desc"" de la distribución ""Convocatorias abiertas durante el año 2015"", valor para tipo: ""string""",type
3,Descripción,Recomendado,La descripción de la información que contiene el campo.,"Ejemplo para el campo ""unidad_operativa_contrataciones_desc"" de la distribución ""Convocatorias abiertas durante el año 2015"", valor para descripción: ""Organismo que realiza la convocatoría. Organismo de máximo nivel jerárquico al que pertenece la unidad operativa de contrataciones.""",description
